generation,adult_population_size,adult_female_population_size,juvenile_population_size,adult_drive_frequency,juvenile_drive_frequency,drive_efficiency
242,79091,50170,28077,0.0,0.0,0.25
243,78201,49685,28717,0.0,0.0,0.25
244,78459,49917,28632,0.0,0.0,0.25
245,78618,49867,28478,0.0,0.0,0.25
246,78555,49592,27841,0.0,0.0,0.25
247,77723,49293,28921,0.0,0.0,0.25
248,78174,49611,29098,0.0,0.0,0.25
249,78855,50060,28898,0.0,0.0,0.25
250,79279,50517,28601,0.0,0.0,0.25
251,79171,50487,27499,0.0,0.0,0.25
252,77763,49882,27259,0.0,0.0,0.25
253,76740,49202,28787,0.0,0.0,0.25
254,77317,49287,29212,0.0,0.0,0.25
255,78515,49694,29475,0.0,0.0,0.25
256,79735,50417,29636,0.0,0.0,0.25
257,80721,51253,27560,0.0,0.0,0.25
258,78955,50451,25252,0.0,0.0,0.25
259,75421,48663,30203,0.0,0.0,0.25
260,77666,49570,30336,0.0,0.0,0.25
261,80244,50654,28294,0.0,0.0,0.25
262,79620,50232,27972,0.0,0.0,0.25
263,78628,49878,28101,0.0,0.0,0.25
264,77726,49359,28138,0.0,0.0,0.25
265,77441,49276,30412,0.0,0.0,0.25
266,79319,50018,28863,0.0,0.0,0.25
267,79213,49931,28655,0.0,0.0,0.25
268,79276,50062,27726,0.0,0.0,0.25
269,77928,49597,29810,0.0,0.0,0.25
270,79385,50380,27543,0.0,0.0,0.25
271,78167,49906,28355,0.0,0.0,0.25
272,77989,49791,28112,0.0,0.0,0.25
273,77534,49666,29617,0.0,0.0,0.25
274,79211,50349,28512,0.0,0.0,0.25
275,78915,50070,27872,0.0,0.0,0.25
276,78136,49779,28683,0.0,0.0,0.25
277,78095,49849,28643,0.0,0.0,0.25
278,78610,50131,28093,0.0,0.0,0.25
279,78241,49975,28363,0.0,0.0,0.25
280,78209,49946,28352,0.0,0.0,0.25
281,78182,50045,28381,0.0,0.0,0.25
282,78330,50045,29484,0.0,0.0,0.25
283,79357,50367,27758,0.0,0.0,0.25
284,78531,49970,29136,0.0,0.0,0.25
285,79025,50275,29715,0.0,0.0,0.25
286,79878,50704,27146,0.0,0.0,0.25
287,78069,49830,27517,0.0,0.0,0.25
288,77196,49359,29647,0.0,0.0,0.25
289,78371,49829,28987,0.0,0.0,0.25
290,79236,50244,29591,0.0,0.0,0.25
291,79991,50714,27977,0.0,0.0,0.25
292,78825,50269,27528,0.0,0.0,0.25
293,77695,49939,28615,0.0,0.0,0.25
294,78102,50158,28202,0.0,0.0,0.25
295,78342,50062,28654,0.0,0.0,0.25
296,78540,50045,28495,0.0,0.0,0.25
297,78449,50016,28531,0.0,0.0,0.25
298,78586,49956,29389,0.0,0.0,0.25
299,79429,50356,27651,0.0,0.0,0.25
300,78076,49722,27564,0.0,0.0,0.25
301,77238,49372,29787,0.0,0.0,0.25
302,78673,49859,29837,0.0,0.0,0.25
303,80060,50512,27843,0.0,0.0,0.25
304,78967,50232,27810,0.0,0.0,0.25
305,77914,49775,28150,0.0,0.0,0.25
306,77578,49407,29370,0.0,0.0,0.25
307,78802,49984,28890,0.0,0.0,0.25
308,79060,49995,28483,0.0,0.0,0.25
309,78550,49924,28388,0.0,0.0,0.25
310,78335,50203,29338,0.0,0.0,0.25
311,79218,50388,28186,0.0,0.0,0.25
312,78783,50086,28343,0.0,0.0,0.25
313,78196,49579,27932,0.0,0.0,0.25
314,77424,49292,29162,0.0,0.0,0.25
315,78678,49948,29941,0.0,0.0,0.25
316,79968,50544,28174,0.0,0.0,0.25
317,79564,50540,27789,0.0,0.0,0.25

