drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
0.750,4.5,0.5,0.0,6.0,52.100,FLADSPLIT
0.750,4.75,0.5,0.0,6.0,49.100,FLADSPLIT
0.750,5.0,0.5,0.0,6.0,47.500,FLADSPLIT
0.775,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.775,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.775,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.775,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.775,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.775,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.775,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.775,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.775,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.775,2.25,0.5,0.0,6.0,304.000,FLADSPLIT
0.775,2.5,0.5,0.0,6.0,175.550,FLADSPLIT
0.775,2.75,0.5,0.0,6.0,117.800,FLADSPLIT
0.775,3.0,0.5,0.0,6.0,90.300,FLADSPLIT
0.775,3.25,0.5,0.0,6.0,77.200,FLADSPLIT
0.775,3.5,0.5,0.0,6.0,67.250,FLADSPLIT
0.775,3.75,0.5,0.0,6.0,61.000,FLADSPLIT
0.775,4.0,0.5,0.0,6.0,57.400,FLADSPLIT
0.775,4.25,0.5,0.0,6.0,53.200,FLADSPLIT
0.775,4.5,0.5,0.0,6.0,50.050,FLADSPLIT
0.775,4.75,0.5,0.0,6.0,48.200,FLADSPLIT
0.775,5.0,0.5,0.0,6.0,45.700,FLADSPLIT
0.800,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.800,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.800,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.800,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.800,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.800,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.800,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.800,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.800,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.800,2.25,0.5,0.0,6.0,276.050,FLADSPLIT
0.800,2.5,0.5,0.0,6.0,153.350,FLADSPLIT
0.800,2.75,0.5,0.0,6.0,107.500,FLADSPLIT
0.800,3.0,0.5,0.0,6.0,85.850,FLADSPLIT
0.800,3.25,0.5,0.0,6.0,73.200,FLADSPLIT
0.800,3.5,0.5,0.0,6.0,64.700,FLADSPLIT
0.800,3.75,0.5,0.0,6.0,59.500,FLADSPLIT
0.800,4.0,0.5,0.0,6.0,56.000,FLADSPLIT
0.800,4.25,0.5,0.0,6.0,52.050,FLADSPLIT
0.800,4.5,0.5,0.0,6.0,49.600,FLADSPLIT
0.800,4.75,0.5,0.0,6.0,46.850,FLADSPLIT
0.800,5.0,0.5,0.0,6.0,45.350,FLADSPLIT
0.825,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.825,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.825,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.825,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.825,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.825,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.825,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.825,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.825,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.825,2.25,0.5,0.0,6.0,233.950,FLADSPLIT
0.825,2.5,0.5,0.0,6.0,137.300,FLADSPLIT
0.825,2.75,0.5,0.0,6.0,99.800,FLADSPLIT
0.825,3.0,0.5,0.0,6.0,80.450,FLADSPLIT
0.825,3.25,0.5,0.0,6.0,69.750,FLADSPLIT
0.825,3.5,0.5,0.0,6.0,62.350,FLADSPLIT
