drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
1.0,8.5,0.5,15.0,linear,69.350,FLAD
1.0,8.5,0.5,16.0,linear,88.700,FLAD
1.0,8.5,0.5,2.0,linear,23.500,FLAD
1.0,8.5,0.5,3.0,linear,24.850,FLAD
1.0,8.5,0.5,4.0,linear,27.050,FLAD
1.0,8.5,0.5,5.0,linear,28.400,FLAD
1.0,8.5,0.5,6.0,linear,30.200,FLAD
1.0,8.5,0.5,7.0,linear,32.900,FLAD
1.0,8.5,0.5,8.0,linear,34.200,FLAD
1.0,8.5,0.5,9.0,linear,36.950,FLAD
1.0,9.0,0.5,10.0,linear,39.000,FLAD
1.0,9.0,0.5,11.0,linear,42.250,FLAD
1.0,9.0,0.5,12.0,linear,45.200,FLAD
1.0,9.0,0.5,13.0,linear,48.950,FLAD
1.0,9.0,0.5,14.0,linear,55.350,FLAD
1.0,9.0,0.5,15.0,linear,63.250,FLAD
1.0,9.0,0.5,16.0,linear,75.500,FLAD
1.0,9.0,0.5,2.0,linear,23.300,FLAD
1.0,9.0,0.5,3.0,linear,24.850,FLAD
1.0,9.0,0.5,4.0,linear,26.500,FLAD
1.0,9.0,0.5,5.0,linear,28.150,FLAD
1.0,9.0,0.5,6.0,linear,30.100,FLAD
1.0,9.0,0.5,7.0,linear,31.950,FLAD
1.0,9.0,0.5,8.0,linear,33.950,FLAD
1.0,9.0,0.5,9.0,linear,36.400,FLAD
1.0,9.5,0.5,10.0,linear,37.950,FLAD
1.0,9.5,0.5,11.0,linear,40.200,FLAD
1.0,9.5,0.5,12.0,linear,43.350,FLAD
1.0,9.5,0.5,13.0,linear,47.950,FLAD
1.0,9.5,0.5,14.0,linear,51.850,FLAD
1.0,9.5,0.5,15.0,linear,57.950,FLAD
1.0,9.5,0.5,16.0,linear,68.100,FLAD
1.0,9.5,0.5,2.0,linear,22.550,FLAD
1.0,9.5,0.5,3.0,linear,24.550,FLAD
1.0,9.5,0.5,4.0,linear,26.450,FLAD
1.0,9.5,0.5,5.0,linear,28.050,FLAD
1.0,9.5,0.5,6.0,linear,29.650,FLAD
1.0,9.5,0.5,7.0,linear,31.250,FLAD
