sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
136,0,0,0,NAN,NAN,77307,49213,28945,0.000303983,0.000604595,0.5,1.0,6.0,3.0
137,0,0,0,NAN,NAN,77715,49416,29574,0.000238049,0.000693176,0.5,1.0,6.0,3.0
138,0,0,0,NAN,NAN,79060,49934,28610,0.000265621,0.000664103,0.5,1.0,6.0,3.0
139,0,0,0,NAN,NAN,79155,50028,28728,0.000258986,0.000609162,0.5,1.0,6.0,3.0
140,0,0,0,NAN,NAN,79164,50171,27423,0.00018948,0.000565219,0.5,1.0,6.0,3.0
141,0,0,0,NAN,NAN,77584,49651,28723,0.000161116,0.00052223,0.5,1.0,6.0,3.0
142,0,0,0,NAN,NAN,78140,49998,29387,0.000211159,0.000663559,0.5,1.0,6.0,3.0
143,0,0,0,NAN,NAN,79081,50524,28486,0.000221292,0.000544127,0.5,1.0,6.0,3.0
144,0,0,0,NAN,NAN,79104,50587,27172,0.000214907,0.000184013,0.5,1.0,6.0,3.0
145,0,0,0,NAN,NAN,77709,49833,29332,0.000147988,0.000494341,0.5,1.0,6.0,3.0
146,0,0,0,NAN,NAN,78792,50192,29642,0.000158646,0.000472303,0.5,1.0,6.0,3.0
147,0,0,0,NAN,NAN,79922,50468,27636,0.000106354,0.000289477,0.5,1.0,6.0,3.0
148,0,0,0,NAN,NAN,78667,49848,27670,0.000120762,0.000505963,0.5,1.0,6.0,3.0
149,0,0,0,NAN,NAN,77517,49275,29544,0.000154805,0.000355402,0.5,1.0,6.0,3.0
150,0,0,0,NAN,NAN,78492,49953,29906,0.000165622,0.000300943,0.5,1.0,6.0,3.0
151,0,0,0,NAN,NAN,80197,50653,29161,0.000130928,0.000394362,0.5,1.0,6.0,3.0
152,0,0,0,NAN,NAN,80397,50762,26300,0.000130602,0.000114068,0.5,1.0,6.0,3.0
153,0,0,0,NAN,NAN,77577,49496,27622,0.000116014,0.000253421,0.5,1.0,6.0,3.0
154,0,0,0,NAN,NAN,76772,49293,30556,0.000110717,0.000278178,0.5,1.0,6.0,3.0
155,0,0,0,NAN,NAN,79135,50265,29599,8.21381e-05,0.000422312,0.5,1.0,6.0,3.0
156,0,0,0,NAN,NAN,80040,50539,28193,9.37031e-05,0.000283758,0.5,1.0,6.0,3.0
157,0,0,0,NAN,NAN,79260,50106,28072,8.20086e-05,0.000284981,0.5,1.0,6.0,3.0
158,0,0,0,NAN,NAN,78530,49898,28379,5.73029e-05,0.000176187,0.5,1.0,6.0,3.0
159,0,0,0,NAN,NAN,78264,49674,28739,4.47204e-05,0.000347959,0.5,1.0,6.0,3.0
160,0,0,0,NAN,NAN,78550,49966,27868,8.27498e-05,0.000305009,0.5,1.0,6.0,3.0
161,0,0,0,NAN,NAN,77745,49405,28913,9.64692e-05,0.000138346,0.5,1.0,6.0,3.0
162,0,0,0,NAN,NAN,78193,49567,29371,8.95221e-05,0.000119165,0.5,1.0,6.0,3.0
163,0,0,0,NAN,NAN,79261,50164,29009,5.67745e-05,0.000293013,0.5,1.0,6.0,3.0
164,0,0,0,NAN,NAN,79519,50548,28651,7.54537e-05,0.000191965,0.5,1.0,6.0,3.0
165,0,0,0,NAN,NAN,79289,50527,27165,8.19786e-05,0.000110436,0.5,1.0,6.0,3.0
166,0,0,0,NAN,NAN,77362,49409,27272,6.46312e-05,0.000220006,0.5,1.0,6.0,3.0
167,0,0,0,NAN,NAN,76269,48834,30403,7.86689e-05,0.000131566,0.5,1.0,6.0,3.0
168,0,0,0,NAN,NAN,78555,49759,29252,6.36497e-05,1.70928e-05,0.5,1.0,6.0,3.0
169,0,0,0,NAN,NAN,79674,50328,28936,2.51023e-05,0.000172795,0.5,1.0,6.0,3.0
170,0,0,0,NAN,NAN,79957,50456,27591,4.37735e-05,0.000163097,0.5,1.0,6.0,3.0
171,0,0,0,NAN,NAN,78390,50095,28386,5.10269e-05,0.000158529,0.5,1.0,6.0,3.0
172,0,0,0,NAN,NAN,78296,50311,28829,5.10882e-05,0.000156093,0.5,1.0,6.0,3.0
173,0,0,0,NAN,NAN,78666,50205,27806,5.72039e-05,0.00010789,0.5,1.0,6.0,3.0
174,0,0,0,NAN,NAN,77861,49543,28581,5.13736e-05,0.000104965,0.5,1.0,6.0,3.0
175,0,0,0,NAN,NAN,78024,49495,29582,3.84497e-05,0.00015212,0.5,1.0,6.0,3.0
176,0,0,0,NAN,NAN,79138,49975,28574,5.05446e-05,5.24953e-05,0.5,1.0,6.0,3.0
177,0,0,0,NAN,NAN,78995,49965,28411,5.06361e-05,0.00029918,0.5,1.0,6.0,3.0
178,0,0,0,NAN,NAN,78612,49965,28375,8.26846e-05,5.28634e-05,0.5,1.0,6.0,3.0
179,0,0,0,NAN,NAN,78293,50013,28494,6.38627e-05,0.000193023,0.5,1.0,6.0,3.0
180,0,0,0,NAN,NAN,78420,50181,28290,7.01352e-05,0.000229763,0.5,1.0,6.0,3.0
181,0,0,0,NAN,NAN,78171,49932,28885,7.03586e-05,1.731e-05,0.5,1.0,6.0,3.0
182,0,0,0,NAN,NAN,78604,49872,28101,3.8166e-05,0.00017793,0.5,1.0,6.0,3.0
