generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
211,32809,7864,0,0.716471,1.0,0.283529,0.0,0.5,0.525,6.0,linear
212,32634,7844,0,0.716627,1.0,0.283373,0.0,0.5,0.525,6.0,linear
213,32826,7836,0,0.714885,1.0,0.285115,0.0,0.5,0.525,6.0,linear
214,33062,7921,0,0.713771,1.0,0.286229,0.0,0.5,0.525,6.0,linear
215,33159,7871,0,0.715547,1.0,0.284453,0.0,0.5,0.525,6.0,linear
216,33306,7920,0,0.715327,1.0,0.284673,0.0,0.5,0.525,6.0,linear
217,32938,7825,0,0.718616,1.0,0.281384,0.0,0.5,0.525,6.0,linear
218,32950,7835,0,0.717417,1.0,0.282583,0.0,0.5,0.525,6.0,linear
219,33070,7796,0,0.715696,1.0,0.284304,0.0,0.5,0.525,6.0,linear
220,33029,7920,0,0.715063,1.0,0.284937,0.0,0.5,0.525,6.0,linear
221,32737,7966,0,0.716006,1.0,0.283994,0.0,0.5,0.525,6.0,linear
222,32910,7944,0,0.715558,1.0,0.284442,0.0,0.5,0.525,6.0,linear
223,33095,7923,0,0.716262,1.0,0.283738,0.0,0.5,0.525,6.0,linear
224,33167,7899,0,0.716356,1.0,0.283644,0.0,0.5,0.525,6.0,linear
225,33300,7974,0,0.717323,1.0,0.282677,0.0,0.5,0.525,6.0,linear
226,32967,7861,0,0.718478,1.0,0.281522,0.0,0.5,0.525,6.0,linear
227,33070,7867,0,0.716389,1.0,0.283611,0.0,0.5,0.525,6.0,linear
228,32957,7834,0,0.715893,1.0,0.284107,0.0,0.5,0.525,6.0,linear
229,32592,7831,0,0.716782,1.0,0.283218,0.0,0.5,0.525,6.0,linear
230,32498,7760,0,0.716283,1.0,0.283717,0.0,0.5,0.525,6.0,linear
231,32643,7773,0,0.717958,1.0,0.282042,0.0,0.5,0.525,6.0,linear
232,32732,7703,0,0.71863,1.0,0.28137,0.0,0.5,0.525,6.0,linear
233,32263,7688,0,0.716997,1.0,0.283003,0.0,0.5,0.525,6.0,linear
234,32226,7642,0,0.717369,1.0,0.282631,0.0,0.5,0.525,6.0,linear
235,32439,7643,0,0.716285,1.0,0.283715,0.0,0.5,0.525,6.0,linear
236,32175,7604,0,0.715731,1.0,0.284269,0.0,0.5,0.525,6.0,linear
237,32350,7642,0,0.716593,1.0,0.283407,0.0,0.5,0.525,6.0,linear
238,32016,7596,0,0.715162,1.0,0.284838,0.0,0.5,0.525,6.0,linear
239,32146,7607,0,0.715791,1.0,0.284209,0.0,0.5,0.525,6.0,linear
240,32265,7573,0,0.717909,1.0,0.282091,0.0,0.5,0.525,6.0,linear
241,31885,7441,0,0.718214,1.0,0.281786,0.0,0.5,0.525,6.0,linear
