"generation","adult_population_size","adult_female_population_size","juvenile_population_size","adult_drive_frequency","juvenile_drive_frequency","drive_efficiency"
130,78575.75,49961.85,28885.45,8.2320957e-05,0.0002121541,0.5
131,78894.6,50090.4,28519.2,7.861437e-05,0.000185205085,0.5
132,78737.3,50058.95,28296.45,7.42842075e-05,0.00019444749,0.5
133,78414.1,49955.15,28522.35,6.8257845e-05,0.000142339205,0.5
134,78406.35,49974.75,28691.45,5.6728969e-05,0.00015524241,0.5
135,78549.35,50022.55,28545,5.44221575e-05,0.00012410671,0.5
136,78563.3,49930,28478.35,4.4541819e-05,0.00011538138,0.5
137,78445.25,49880.05,28503.3,4.821715e-05,0.00012077799,0.5
138,78387.85,49875.25,28875.35,4.47575935e-05,9.752826e-05,0.5
139,78789.8,50073.75,28607,4.1751983e-05,9.794179e-05,0.5
140,78768,50034.15,28435.45,3.578573e-05,0.000102685435,0.5
141,78532.85,49949.15,28492.45,3.3995025e-05,7.4810565e-05,0.5
142,78426.5,49920.65,28886,3.4434545e-05,7.201475e-05,0.5
143,78770.7,50085.85,28571.4,2.603076e-05,8.363247e-05,0.5
144,78724.95,50005.85,28326.9,2.9633203e-05,6.9341525e-05,0.5
145,78481.6,49931.25,28823.05,2.64325905e-05,5.9183865e-05,0.5
146,78716.65,50098.25,28433.75,2.15235425e-05,7.276068e-05,0.5
147,78546.1,49999.4,28321.25,2.06626045e-05,7.122611e-05,0.5
148,78352.5,49883.65,28861.3,2.6591965e-05,6.8205695e-05,0.5
149,78637.5,49998.7,28667.4,3.00252825e-05,4.4815e-05,0.5
150,78675.45,50035.2,28610.35,2.1582621e-05,6.198463e-05,0.5
151,78738.55,50067.65,28595.25,1.9623542e-05,4.914002e-05,0.5
152,78647.25,50066.45,28302.45,1.8754554e-05,5.886438e-05,0.5
153,78409.35,49983.8,28456.9,2.3289794e-05,3.591448e-05,0.5
154,78296.35,49862.95,28739.2,1.91203665e-05,4.9256925e-05,0.5
155,78487.85,49921.85,28661.05,1.842582e-05,4.314579e-05,0.5
156,78632.1,49933.1,28524.6,1.4957428e-05,2.7557995e-05,0.5
157,78582.4,49964.8,28510.1,1.24695605e-05,3.768267e-05,0.5
158,78528,49966.75,28733.25,1.37074285e-05,2.5227975e-05,0.5
159,78681.35,50069.15,28547.6,1.238576e-05,4.4143085e-05,0.5
160,78627.15,50079.55,28354.85,1.27431345e-05,3.2554415e-05,0.5
161,78433.65,49971.25,28659.6,1.5953135e-05,2.871746e-05,0.5
162,78568.7,50046.3,28501.45,1.55722015e-05,4.497026e-05,0.5
163,78528.6,49960.1,28481.3,1.84763415e-05,2.248951e-05,0.5
164,78450.1,49930.25,28789.6,1.474443e-05,3.147329e-05,0.5
165,78662.7,50025.45,28538,1.21518915e-05,3.029491e-05,0.5
166,78658.2,50053.1,28633.1,9.197163e-06,2.8010055e-05,0.5
167,78737.65,50132.9,28398.5,8.8750395e-06,2.3030105e-05,0.5
168,78483.6,49960.05,28249.55,7.3299665e-06,3.2422825e-05,0.5
169,78178.25,49798.2,28676.45,9.9026765e-06,1.5634125e-05,0.5
170,78396.1,49940.6,28766.55,5.418419e-06,2.61226e-05,0.5
171,78580.1,49981.6,28645.2,6.6597865e-06,1.2313475e-05,0.5
172,78714.5,50046.1,28544.8,6.03146e-06,1.6558435e-05,0.5
173,78699.25,50070.25,28414.55,6.6722655e-06,1.9620345e-05,0.5
174,78473.65,50012.55,28522.6,7.352367e-06,1.4076995e-05,0.5
175,78456.7,50000.5,28507.75,8.002619e-06,9.594205e-06,0.5
176,78409.35,49928.3,28453,7.005873e-06,7.898025e-06,0.5
177,78372.55,49870.95,28962.3,3.82302e-06,6.67756e-06,0.5
178,78787.4,50057.75,28639,3.4606705e-06,1.652259e-05,0.5
179,78858.65,50125.1,28281.9,5.3528295e-06,1.1683855e-05,0.5
180,78464,49940.6,28492.65,4.4724225e-06,1.036359e-05,0.5
181,78344,49867.15,28759.8,3.8385895e-06,1.2799195e-05,0.5
182,78618.95,50016.6,28902.2,5.08352e-06,1.188043e-05,0.5
183,78951.7,50180.9,28310.2,5.97467e-06,6.997165e-06,0.5
184,78599.5,50014.95,28286.7,4.419718e-06,1.794945e-06,0.5
185,78266.05,49889.3,28672.35,2.23714e-06,6.077485e-06,0.5
186,78438.8,49952.85,28836.6,1.904421e-06,6.100915e-06,0.5
187,78748.9,50074.25,28509.3,2.2233995e-06,6.094525e-06,0.5
188,78655.5,50027,28322,2.85512e-06,5.34855e-06,0.5
189,78387.2,49902.7,28675.75,2.237029e-06,1.051624e-05,0.5
190,78563.25,50035.55,28661.35,2.2328345e-06,6.013685e-06,0.5
191,78723.7,50103.8,28469.05,9.52973e-07,3.45272e-06,0.5
192,78646.75,50073.9,28426.45,3.19685e-07,8.8788e-07,0.5
193,78495.1,50011.5,28560.65,6.35781e-07,9.12775e-07,0.5
194,78482,49997.65,28532.05,9.648365e-07,9.06785e-07,0.5
195,78484.2,49966.7,28525.45,9.67215e-07,0,0.5
196,78481.7,49953.2,28611.4,6.311275e-07,3.427255e-06,0.5
197,78555.55,49982.15,28634.15,6.2995e-07,9.0629e-07,0.5
198,78608.25,49981.75,28568.85,6.44025e-07,0,0.5
199,78588.25,50047.5,28577.1,6.33375e-07,8.57545e-07,0.5
200,78588.65,50024.85,28466.5,3.14181e-07,1.805575e-06,0.5
201,78504.45,50018.65,28501.35,0,8.8646e-07,0.5
